"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","CONDIZIONE_PROF_EU","Condizione professionale europea","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-19","15-19 anni","UNEM","disoccupati","2018","2018",38.223,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-19","15-19 anni","UNEM","disoccupati","2019","2019",33.978,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-19","15-19 anni","UNEM","disoccupati","2020","2020",27.381,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-19","15-19 anni","UNEM","disoccupati","2008","2008",89.207,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-19","15-19 anni","UNEM","disoccupati","2009","2009",92.768,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-19","15-19 anni","UNEM","disoccupati","2010","2010",100.892,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-19","15-19 anni","UNEM","disoccupati","2011","2011",97.985,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-19","15-19 anni","UNEM","disoccupati","2012","2012",119.444,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-19","15-19 anni","UNEM","disoccupati","2013","2013",115.662,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-19","15-19 anni","UNEM","disoccupati","2014","2014",116.36,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-19","15-19 anni","UNEM","disoccupati","2015","2015",105.499,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-19","15-19 anni","UNEM","disoccupati","2016","2016",93.468,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-19","15-19 anni","UNEM","disoccupati","2017","2017",93.067,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-19","15-19 anni","UNEM","disoccupati","2018","2018",91.193,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-19","15-19 anni","UNEM","disoccupati","2019","2019",82.482,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-19","15-19 anni","UNEM","disoccupati","2020","2020",75.273,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2008","2008",171.903,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2008-Q2","T2-2008",161.084,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2008-Q1","T1-2008",167.356,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2008-Q4","T4-2008",198.814,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2008-Q3","T3-2008",160.359,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2009","2009",213.196,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2009-Q1","T1-2009",212.162,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2009-Q2","T2-2009",184.817,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2009-Q4","T4-2009",246.8,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2009-Q3","T3-2009",209.005,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2010","2010",242.649,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2010-Q2","T2-2010",239.607,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2010-Q1","T1-2010",264.526,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2010-Q4","T4-2010",255.014,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2010-Q3","T3-2010",211.451,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2011","2011",236.114,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2011-Q1","T1-2011",248.6,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2011-Q2","T2-2011",199.001,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2011-Q4","T4-2011",280.204,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2011-Q3","T3-2011",216.652,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2012","2012",307.13,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2012-Q2","T2-2012",301.474,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2012-Q1","T1-2012",310.018,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2012-Q4","T4-2012",332.39,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2012-Q3","T3-2012",284.637,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2013","2013",331.642,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2013-Q1","T1-2013",358.39,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2013-Q2","T2-2013",312.926,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2013-Q4","T4-2013",338.688,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2013-Q3","T3-2013",316.564,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2014","2014",347.603,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2014-Q2","T2-2014",338.785,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2014-Q1","T1-2014",364.949,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2014-Q4","T4-2014",346.292,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2014-Q3","T3-2014",340.387,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2015","2015",324.937,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2015-Q1","T1-2015",340.901,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2015-Q2","T2-2015",323.082,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2015-Q4","T4-2015",341.701,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2015-Q3","T3-2015",294.063,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2016","2016",297.837,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2016-Q2","T2-2016",274.867,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2016-Q1","T1-2016",325.875,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2016-Q4","T4-2016",329.335,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2016-Q3","T3-2016",261.271,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2017","2017",273.291,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2017-Q1","T1-2017",288.928,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2017-Q2","T2-2017",268.543,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2017-Q4","T4-2017",272.273,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2017-Q3","T3-2017",263.421,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2018","2018",248.572,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2018-Q2","T2-2018",242.648,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2018-Q1","T1-2018",253.056,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2018-Q4","T4-2018",264.863,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2018-Q3","T3-2018",233.72,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2019","2019",225.469,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2019-Q1","T1-2019",256.063,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2019-Q2","T2-2019",211.946,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2019-Q4","T4-2019",219.794,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2019-Q3","T3-2019",214.071,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2020","2020",222.745,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2020-Q2","T2-2020",160.947,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2020-Q1","T1-2020",224.765,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2020-Q3","T3-2020",245.278,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","2020-Q4","T4-2020",259.99,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2008","2008",150.207,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2008-Q2","T2-2008",142.423,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2008-Q1","T1-2008",153.365,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2008-Q4","T4-2008",167.248,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2008-Q3","T3-2008",137.792,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2009","2009",164.45,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2009-Q1","T1-2009",179.83,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2009-Q2","T2-2009",157.811,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2009-Q4","T4-2009",183.316,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2009-Q3","T3-2009",136.844,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2010","2010",171.467,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2010-Q2","T2-2010",164.967,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2010-Q1","T1-2010",174.117,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2010-Q4","T4-2010",196.296,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2010-Q3","T3-2010",150.488,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2011","2011",186.058,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2011-Q1","T1-2011",185.828,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2011-Q2","T2-2011",185.819,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2011-Q4","T4-2011",214.364,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2011-Q3","T3-2011",158.223,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2012","2012",224.277,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2012-Q2","T2-2012",205.612,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2012-Q1","T1-2012",237.151,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2012-Q4","T4-2012",253.658,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2012-Q3","T3-2012",200.688,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2013","2013",247.074,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2013-Q1","T1-2013",256.13,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2013-Q2","T2-2013",210.714,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2013-Q4","T4-2013",298.132,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2013-Q3","T3-2013",223.318,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2014","2014",259.741,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2014-Q2","T2-2014",233.166,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2014-Q1","T1-2014",281.743,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2014-Q4","T4-2014",280.694,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2014-Q3","T3-2014",243.359,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2015","2015",231.642,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2015-Q1","T1-2015",270.397,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2015-Q2","T2-2015",235.563,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2015-Q4","T4-2015",227.014,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2015-Q3","T3-2015",193.593,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2016","2016",224.883,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2016-Q2","T2-2016",206.744,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2016-Q1","T1-2016",232.545,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2016-Q4","T4-2016",250.865,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2016-Q3","T3-2016",209.38,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2017","2017",203.461,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2017-Q1","T1-2017",219.475,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2017-Q2","T2-2017",189.059,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2017-Q4","T4-2017",210.296,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2017-Q3","T3-2017",195.015,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2018","2018",193.704,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2018-Q2","T2-2018",187.335,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2018-Q1","T1-2018",210.109,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2018-Q4","T4-2018",213.451,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","2018-Q3","T3-2018",163.92,,
