Entity,Code,Year,Annual CO₂ emissions (per capita)
Lebanon,LBN,2022,4.3543963
Croatia,HRV,2022,4.348515
Chile,CHL,2022,4.3041654
Argentina,ARG,2022,4.2378173
Nauru,NRU,2022,4.1700416
Bonaire Sint Eustatius and Saba,BES,2022,4.083284
Hong Kong,HKG,2022,4.081913
Portugal,PRT,2022,4.050785
Switzerland,CHE,2022,4.0478554
Iraq,IRQ,2022,4.024638
Asia (excl. China and India),,2022,4.017375
Mexico,MEX,2022,4.0153365
Cook Islands,COK,2022,3.9950094
Algeria,DZA,2022,3.9272263
Niue,NIU,2022,3.8729508
Liechtenstein,LIE,2022,3.8097827
Thailand,THA,2022,3.7762568
Romania,ROU,2022,3.739777
Azerbaijan,AZE,2022,3.6746833
Montenegro,MNE,2022,3.6558185
Marshall Islands,MHL,2022,3.6353714
North Macedonia,MKD,2022,3.6245701
Sweden,SWE,2022,3.6069093
Latvia,LVA,2022,3.561689
Ukraine,UKR,2022,3.5578535
Vietnam,VNM,2022,3.4995174
Uzbekistan,UZB,2022,3.4830604
Saint Helena,SHN,2022,3.2986484
Mauritius,MUS,2022,3.2697906
Maldives,MDV,2022,3.2475724
Malta,MLT,2022,3.1035979
Laos,LAO,2022,3.0803475
Equatorial Guinea,GNQ,2022,3.0307202
Georgia,GEO,2022,2.962545
Tunisia,TUN,2022,2.879285
French Polynesia,PYF,2022,2.8509297
Botswana,BWA,2022,2.838951
Venezuela,VEN,2022,2.7168686
Grenada,GRD,2022,2.7133646
Panama,PAN,2022,2.699258
Indonesia,IDN,2022,2.6456614
Saint Lucia,LCA,2022,2.6149206
South America,,2022,2.4865332
Gabon,GAB,2022,2.3882635
Egypt,EGY,2022,2.333106
Ecuador,ECU,2022,2.3117273
Uruguay,URY,2022,2.3060381
Armenia,ARM,2022,2.3045583
Saint Vincent and the Grenadines,VCT,2022,2.2964725
Jamaica,JAM,2022,2.2945588
Wallis and Futuna,WLF,2022,2.2819076
Brazil,BRA,2022,2.2454574
Dominica,DMA,2022,2.1058853
Dominican Republic,DOM,2022,2.1051137
Jordan,JOR,2022,2.0301995
India,IND,2022,1.9966822
North Korea,PRK,2022,1.9513915
Colombia,COL,2022,1.9223082
Cuba,CUB,2022,1.8659163
Morocco,MAR,2022,1.8263615
Belize,BLZ,2022,1.7894346
Peru,PER,2022,1.7891879
Lower-middle-income countries,,2022,1.777996
Tonga,TON,2022,1.7686282
Bolivia,BOL,2022,1.7583066
Albania,ALB,2022,1.7432004
Moldova,MDA,2022,1.6565942
Namibia,NAM,2022,1.5399038
Costa Rica,CRI,2022,1.5226681
Macao,MAC,2022,1.5127679
Kyrgyzstan,KGZ,2022,1.4251612
Lesotho,LSO,2022,1.3594668
Bhutan,BTN,2022,1.3489918
Paraguay,PRY,2022,1.3299496
Micronesia (country),FSM,2022,1.3243006
Philippines,PHL,2022,1.3014648
Syria,SYR,2022,1.2490375
Congo,COG,2022,1.2447897
El Salvador,SLV,2022,1.2174718
Cambodia,KHM,2022,1.1900775
Fiji,FJI,2022,1.1550449
Samoa,WSM,2022,1.1218625
Guatemala,GTM,2022,1.0756185
Honduras,HND,2022,1.0696708
Eswatini,SWZ,2022,1.0527312
Tajikistan,TJK,2022,1.0064901
Tuvalu,TUV,2022,1.0004411
Africa,,2022,0.99422127
Cape Verde,CPV,2022,0.9588915
Mauritania,MRT,2022,0.957337
Pakistan,PAK,2022,0.84893465
Nicaragua,NIC,2022,0.79879653
Sri Lanka,LKA,2022,0.7936504
Papua New Guinea,PNG,2022,0.77131313
Senegal,SEN,2022,0.6738352
Palestine,PSE,2022,0.6660658
Myanmar,MMR,2022,0.6445672
Vanuatu,VUT,2022,0.6363055
Benin,BEN,2022,0.631487
Ghana,GHA,2022,0.6215505
Bangladesh,BGD,2022,0.5964455
Nigeria,NGA,2022,0.5891771
Sao Tome and Principe,STP,2022,0.5816142
Zimbabwe,ZWE,2022,0.542628
Kiribati,KIR,2022,0.5184742
Nepal,NPL,2022,0.5074035
East Timor,TLS,2022,0.49869007
Comoros,COM,2022,0.49327007
Sudan,SDN,2022,0.4696261
Kenya,KEN,2022,0.45998666
Angola,AGO,2022,0.45155162
Zambia,ZMB,2022,0.44570068
Cote d'Ivoire,CIV,2022,0.41668788
Solomon Islands,SLB,2022,0.41232163
Djibouti,DJI,2022,0.40418932
Guinea,GIN,2022,0.35742033
Cameroon,CMR,2022,0.34292704
Yemen,YEM,2022,0.33701748
Mali,MLI,2022,0.31153768
Afghanistan,AFG,2022,0.29536375
Togo,TGO,2022,0.2910665
Gambia,GMB,2022,0.2847278
Low-income countries,,2022,0.28005043
Burkina Faso,BFA,2022,0.26295447
Mozambique,MOZ,2022,0.24274588
Tanzania,TZA,2022,0.23771806
Haiti,HTI,2022,0.21119381
Eritrea,ERI,2022,0.18914719
South Sudan,SSD,2022,0.1680176
Liberia,LBR,2022,0.1653753
Guinea-Bissau,GNB,2022,0.15518051
Ethiopia,ETH,2022,0.15458965
Madagascar,MDG,2022,0.14871116
Chad,TCD,2022,0.13367727
Sierra Leone,SLE,2022,0.13124847
Uganda,UGA,2022,0.12744623
Niger,NER,2022,0.116688
Rwanda,RWA,2022,0.112346195
Malawi,MWI,2022,0.10262384
Burundi,BDI,2022,0.06194545
Central African Republic,CAF,2022,0.040548485
Somalia,SOM,2022,0.03676208
Democratic Republic of Congo,COD,2022,0.036375992
