sex,age,unit,geo,Geopolitical entity (reporting),OBS_VALUE
M,Y15-29,PC_POP,BE,Belgium,10.6
M,Y15-29,PC_POP,BG,Bulgaria,18.9
M,Y15-29,PC_POP,CH,Switzerland,7.3
M,Y15-29,PC_POP,CY,Cyprus,16.4
M,Y15-29,PC_POP,CZ,Czechia,5.6
M,Y15-29,PC_POP,DE,Germany,7.8
M,Y15-29,PC_POP,DK,Denmark,8.2
M,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),13.2
M,Y15-29,PC_POP,EE,Estonia,8.9
M,Y15-29,PC_POP,EL,Greece,20.5
M,Y15-29,PC_POP,ES,Spain,17.4
M,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),13.0
M,Y15-29,PC_POP,FI,Finland,10.7
M,Y15-29,PC_POP,FR,France,12.9
M,Y15-29,PC_POP,HR,Croatia,19.5
M,Y15-29,PC_POP,HU,Hungary,9.6
M,Y15-29,PC_POP,IE,Ireland,14.3
M,Y15-29,PC_POP,IS,Iceland,4.3
M,Y15-29,PC_POP,IT,Italy,22.0
M,Y15-29,PC_POP,LT,Lithuania,10.8
M,Y15-29,PC_POP,LU,Luxembourg,5.4
M,Y15-29,PC_POP,LV,Latvia,12.9
M,Y15-29,PC_POP,ME,Montenegro,21.6
M,Y15-29,PC_POP,MK,Macedonia,28.7
M,Y15-29,PC_POP,MT,Malta,6.9
M,Y15-29,PC_POP,NL,Netherlands,5.8
M,Y15-29,PC_POP,NO,Norway,7.7
M,Y15-29,PC_POP,PL,Poland,11.3
M,Y15-29,PC_POP,PT,Portugal,12.4
M,Y15-29,PC_POP,RO,Romania,19.9
M,Y15-29,PC_POP,RS,Serbia,21.1
M,Y15-29,PC_POP,SE,Sweden,6.4
M,Y15-29,PC_POP,SI,Slovenia,9.4
M,Y15-29,PC_POP,SK,Slovakia,11.8
M,Y15-29,PC_POP,TR,Turkey,14.8
T,Y15-29,PC_POP,AT,Austria,9.3
T,Y15-29,PC_POP,BE,Belgium,12.2
T,Y15-29,PC_POP,BG,Bulgaria,22.4
T,Y15-29,PC_POP,CH,Switzerland,7.5
T,Y15-29,PC_POP,CY,Cyprus,18.0
T,Y15-29,PC_POP,CZ,Czechia,11.1
T,Y15-29,PC_POP,DE,Germany,10.0
T,Y15-29,PC_POP,DK,Denmark,8.4
T,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),14.7
T,Y15-29,PC_POP,EE,Estonia,13.3
T,Y15-29,PC_POP,EL,Greece,21.9
T,Y15-29,PC_POP,ES,Spain,18.1
T,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),14.8
T,Y15-29,PC_POP,FI,Finland,11.2
T,Y15-29,PC_POP,FR,France,13.6
T,Y15-29,PC_POP,HR,Croatia,19.4
T,Y15-29,PC_POP,HU,Hungary,12.0
T,Y15-29,PC_POP,IE,Ireland,14.5
T,Y15-29,PC_POP,IS,Iceland,4.6
T,Y15-29,PC_POP,IT,Italy,24.4
T,Y15-29,PC_POP,LT,Lithuania,10.7
T,Y15-29,PC_POP,LU,Luxembourg,6.8
T,Y15-29,PC_POP,LV,Latvia,13.3
T,Y15-29,PC_POP,ME,Montenegro,22.3
T,Y15-29,PC_POP,MK,Macedonia,31.3
T,Y15-29,PC_POP,MT,Malta,9.4
T,Y15-29,PC_POP,NL,Netherlands,6.9
T,Y15-29,PC_POP,NO,Norway,8.4
T,Y15-29,PC_POP,PL,Poland,14.0
T,Y15-29,PC_POP,PT,Portugal,12.7
T,Y15-29,PC_POP,RO,Romania,24.3
T,Y15-29,PC_POP,RS,Serbia,23.1
T,Y15-29,PC_POP,SE,Sweden,6.7
T,Y15-29,PC_POP,SI,Slovenia,9.3
T,Y15-29,PC_POP,SK,Slovakia,15.1
T,Y15-29,PC_POP,TR,Turkey,27.8
