Entity,Code,Year,Annual CO₂ emissions (per capita)
Kosovo,OWID_KOS,2019,4.973549
Cook Islands,COK,2019,4.918695
France,FRA,2019,4.898306
North America (excl. USA),,2019,4.870742
Montserrat,MSR,2019,4.8551235
Chile,CHL,2019,4.8308606
Turkey,TUR,2019,4.8237195
Lithuania,LTU,2019,4.800764
World,OWID_WRL,2019,4.770166
Portugal,PRT,2019,4.6155887
Iraq,IRQ,2019,4.5618486
Nauru,NRU,2019,4.521224
Asia,,2019,4.506658
Lebanon,LBN,2019,4.4382133
Suriname,SUR,2019,4.390763
Croatia,HRV,2019,4.3240995
Bonaire Sint Eustatius and Saba,BES,2019,4.2942533
Switzerland,CHE,2019,4.2827263
Algeria,DZA,2019,4.18161
Asia (excl. China and India),,2019,4.126542
Sweden,SWE,2019,3.9936066
Latvia,LVA,2019,3.9918807
Argentina,ARG,2019,3.9894862
Thailand,THA,2019,3.95287
Romania,ROU,2019,3.9379425
Montenegro,MNE,2019,3.9290168
Maldives,MDV,2019,3.870847
Liechtenstein,LIE,2019,3.8707013
Niue,NIU,2019,3.7714875
Mexico,MEX,2019,3.744022
Azerbaijan,AZE,2019,3.6879485
North Macedonia,MKD,2019,3.616904
Vietnam,VNM,2019,3.5686002
Mauritius,MUS,2019,3.4879518
Guyana,GUY,2019,3.4500709
Uzbekistan,UZB,2019,3.2880268
Marshall Islands,MHL,2019,3.2750838
Malta,MLT,2019,3.2736566
Panama,PAN,2019,3.1614068
Venezuela,VEN,2019,3.024043
Equatorial Guinea,GNQ,2019,2.9863906
French Polynesia,PYF,2019,2.921616
Georgia,GEO,2019,2.8870666
Saint Lucia,LCA,2019,2.8106656
Jamaica,JAM,2019,2.7803972
Botswana,BWA,2019,2.7131457
Laos,LAO,2019,2.7085655
Grenada,GRD,2019,2.6867204
Saint Helena,SHN,2019,2.6793418
Dominican Republic,DOM,2019,2.607516
Tunisia,TUN,2019,2.519102
South America,,2019,2.4930851
Egypt,EGY,2019,2.4251409
Gabon,GAB,2019,2.4193206
Indonesia,IDN,2019,2.4144928
Dominica,DMA,2019,2.4103239
Jordan,JOR,2019,2.31137
Ecuador,ECU,2019,2.310065
Brazil,BRA,2019,2.2356122
Armenia,ARM,2019,2.2279305
Wallis and Futuna,WLF,2019,2.1855986
Saint Vincent and the Grenadines,VCT,2019,2.1647418
North Korea,PRK,2019,2.048663
Cuba,CUB,2019,1.9987116
Bolivia,BOL,2019,1.9193769
Bhutan,BTN,2019,1.9005703
Morocco,MAR,2019,1.8935199
Uruguay,URY,2019,1.8929877
India,IND,2019,1.8891369
Colombia,COL,2019,1.8829013
Macao,MAC,2019,1.8274176
Belize,BLZ,2019,1.8173902
Lower-middle-income countries,,2019,1.793369
Peru,PER,2019,1.7780743
Moldova,MDA,2019,1.7671684
Namibia,NAM,2019,1.6802846
Albania,ALB,2019,1.6795896
Tonga,TON,2019,1.5359025
Fiji,FJI,2019,1.5330331
Costa Rica,CRI,2019,1.5140803
Kyrgyzstan,KGZ,2019,1.4305534
Syria,SYR,2019,1.4268457
Micronesia (country),FSM,2019,1.3157139
Congo,COG,2019,1.3086569
Philippines,PHL,2019,1.3060241
Samoa,WSM,2019,1.2794564
Paraguay,PRY,2019,1.2460468
El Salvador,SLV,2019,1.202131
Guatemala,GTM,2019,1.1400281
Honduras,HND,2019,1.126517
Cambodia,KHM,2019,1.1241276
Africa,,2019,1.0992943
Lesotho,LSO,2019,1.073333
Tuvalu,TUV,2019,1.0008194
Sri Lanka,LKA,2019,0.98071545
Cape Verde,CPV,2019,0.97150093
Eswatini,SWZ,2019,0.95858824
Tajikistan,TJK,2019,0.94856703
Pakistan,PAK,2019,0.9228277
Mauritania,MRT,2019,0.8608683
Papua New Guinea,PNG,2019,0.8191921
Senegal,SEN,2019,0.7945249
Nicaragua,NIC,2019,0.78370583
Sao Tome and Principe,STP,2019,0.6658341
Palestine,PSE,2019,0.6650818
Zimbabwe,ZWE,2019,0.63664466
Myanmar,MMR,2019,0.6338007
Nigeria,NGA,2019,0.6263395
Bangladesh,BGD,2019,0.60895467
Angola,AGO,2019,0.59412795
Benin,BEN,2019,0.5789981
Vanuatu,VUT,2019,0.5416308
Kiribati,KIR,2019,0.53079224
East Timor,TLS,2019,0.5274983
Ghana,GHA,2019,0.5208505
Sudan,SDN,2019,0.50361913
Nepal,NPL,2019,0.47081903
Solomon Islands,SLB,2019,0.43425184
Zambia,ZMB,2019,0.421688
Djibouti,DJI,2019,0.4177071
Cote d'Ivoire,CIV,2019,0.402909
Comoros,COM,2019,0.39373294
Kenya,KEN,2019,0.38858923
Yemen,YEM,2019,0.37522772
Cameroon,CMR,2019,0.37203085
Guinea,GIN,2019,0.3044799
Low-income countries,,2019,0.29611948
Afghanistan,AFG,2019,0.29340136
Togo,TGO,2019,0.29297218
Mali,MLI,2019,0.28358406
Gambia,GMB,2019,0.28331983
Haiti,HTI,2019,0.27700275
Burkina Faso,BFA,2019,0.26286796
Mozambique,MOZ,2019,0.23447111
Tanzania,TZA,2019,0.22954242
Liberia,LBR,2019,0.2045213
Eritrea,ERI,2019,0.18523079
South Sudan,SSD,2019,0.17044018
Guinea-Bissau,GNB,2019,0.16363285
Madagascar,MDG,2019,0.15459047
Ethiopia,ETH,2019,0.1461173
Chad,TCD,2019,0.14281341
Uganda,UGA,2019,0.13345863
Sierra Leone,SLE,2019,0.124761686
Niger,NER,2019,0.10720992
Rwanda,RWA,2019,0.10695215
Malawi,MWI,2019,0.08673756
Burundi,BDI,2019,0.058007695
Central African Republic,CAF,2019,0.04360792
Democratic Republic of Congo,COD,2019,0.039954364
Somalia,SOM,2019,0.039892595
