"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","CONDIZIONE_PROF_EU","Condizione professionale europea","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-34","15-34 anni","UNEM","disoccupati","ITL","italiano-a","2021","2021",795.505,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-34","15-34 anni","UNEM","disoccupati","ITL","italiano-a","2022","2022",660.193,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-34","15-34 anni","UNEM","disoccupati","ITL","italiano-a","2023","2023",633.639,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","UNEM","disoccupati","ITL","italiano-a","2021","2021",330.35,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","UNEM","disoccupati","ITL","italiano-a","2022","2022",269.143,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","UNEM","disoccupati","ITL","italiano-a","2023","2023",255.014,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-29","15-29 anni","UNEM","disoccupati","ITL","italiano-a","2021","2021",255.585,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-29","15-29 anni","UNEM","disoccupati","ITL","italiano-a","2022","2022",215.816,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-29","15-29 anni","UNEM","disoccupati","ITL","italiano-a","2023","2023",209.299,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-29","15-29 anni","UNEM","disoccupati","ITL","italiano-a","2021","2021",585.935,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-29","15-29 anni","UNEM","disoccupati","ITL","italiano-a","2022","2022",484.959,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-29","15-29 anni","UNEM","disoccupati","ITL","italiano-a","2023","2023",464.313,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y18-29","18-29 anni","UNEM","disoccupati","ITL","italiano-a","2021","2021",325.818,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y18-29","18-29 anni","UNEM","disoccupati","ITL","italiano-a","2022","2022",265.291,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y18-29","18-29 anni","UNEM","disoccupati","ITL","italiano-a","2023","2023",251.116,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y18-29","18-29 anni","UNEM","disoccupati","ITL","italiano-a","2021","2021",251.121,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y18-29","18-29 anni","UNEM","disoccupati","ITL","italiano-a","2022","2022",213.793,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y18-29","18-29 anni","UNEM","disoccupati","ITL","italiano-a","2023","2023",207.062,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y18-29","18-29 anni","UNEM","disoccupati","ITL","italiano-a","2021","2021",576.939,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y18-29","18-29 anni","UNEM","disoccupati","ITL","italiano-a","2022","2022",479.083,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y18-29","18-29 anni","UNEM","disoccupati","ITL","italiano-a","2023","2023",458.178,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOTIN","totale inattivi","ITL","italiano-a","2021","2021",339.419,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOTIN","totale inattivi","ITL","italiano-a","2022","2022",283.339,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOTIN","totale inattivi","ITL","italiano-a","2023","2023",203.457,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOTIN","totale inattivi","ITL","italiano-a","2021","2021",346.419,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOTIN","totale inattivi","ITL","italiano-a","2022","2022",264.64,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOTIN","totale inattivi","ITL","italiano-a","2023","2023",184.124,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOTIN","totale inattivi","ITL","italiano-a","2021","2021",685.838,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOTIN","totale inattivi","ITL","italiano-a","2022","2022",547.979,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOTIN","totale inattivi","ITL","italiano-a","2023","2023",387.581,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-34","15-34 anni","TOTIN","totale inattivi","ITL","italiano-a","2021","2021",672.243,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-34","15-34 anni","TOTIN","totale inattivi","ITL","italiano-a","2022","2022",580.602,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-34","15-34 anni","TOTIN","totale inattivi","ITL","italiano-a","2023","2023",449.431,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-34","15-34 anni","TOTIN","totale inattivi","ITL","italiano-a","2021","2021",979.18,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-34","15-34 anni","TOTIN","totale inattivi","ITL","italiano-a","2022","2022",829.593,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-34","15-34 anni","TOTIN","totale inattivi","ITL","italiano-a","2023","2023",702.884,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-34","15-34 anni","TOTIN","totale inattivi","ITL","italiano-a","2021","2021",1651.423,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-34","15-34 anni","TOTIN","totale inattivi","ITL","italiano-a","2022","2022",1410.195,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-34","15-34 anni","TOTIN","totale inattivi","ITL","italiano-a","2023","2023",1152.315,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2021","2021",527.755,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2022","2022",446.257,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2023","2023",326.741,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-29","15-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2021","2021",625.553,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-29","15-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2022","2022",491.319,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-29","15-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2023","2023",405.112,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-29","15-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2021","2021",1153.308,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-29","15-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2022","2022",937.576,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-29","15-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2023","2023",731.852,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y18-29","18-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2021","2021",466.807,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y18-29","18-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2022","2022",399.986,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y18-29","18-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2023","2023",311.628,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y18-29","18-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2021","2021",569.009,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y18-29","18-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2022","2022",446.198,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y18-29","18-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2023","2023",392.271,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y18-29","18-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2021","2021",1035.816,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y18-29","18-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2022","2022",846.184,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y18-29","18-29 anni","TOTIN","totale inattivi","ITL","italiano-a","2023","2023",703.899,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",522.36,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",435.674,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",354.993,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",482.787,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",370.135,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",297.569,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",1005.147,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",805.809,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",652.562,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",165.752,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",135.775,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",100.391,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",164.684,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",109.704,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",83.247,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",330.436,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",245.479,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",183.638,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",106.903,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",82.539,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",62.127,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",100.666,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",67.989,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",47.764,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",207.569,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",150.529,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",109.891,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",58.849,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",53.235,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",38.264,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",64.018,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",41.715,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",35.484,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",122.868,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",94.95,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",73.747,,
"ITE","Centro","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",83.986,,
"ITE","Centro","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",63.899,,
"ITE","Centro","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",47.031,,
"ITE","Centro","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",66.225,,
"ITE","Centro","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",52.411,,
"ITE","Centro","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",36.955,,
"ITE","Centro","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",150.211,,
"ITE","Centro","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",116.31,,
"ITE","Centro","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",83.987,,
"ITFG","Mezzogiorno","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",272.622,,
"ITFG","Mezzogiorno","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",236.001,,
"ITFG","Mezzogiorno","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",207.571,,
"ITFG","Mezzogiorno","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",251.877,,
"ITFG","Mezzogiorno","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",208.02,,
"ITFG","Mezzogiorno","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",177.366,,
"ITFG","Mezzogiorno","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2021","2021",524.499,,
"ITFG","Mezzogiorno","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2022","2022",444.021,,
"ITFG","Mezzogiorno","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","TOT","totale","ITL","italiano-a","2023","2023",384.937,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2021","2021",1111.067,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2022","2022",933.633,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2023","2023",791.567,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2021","2021",1335.861,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2022","2022",1136.755,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2023","2023",994.387,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2021","2021",2446.927,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2022","2022",2070.388,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2023","2023",1785.954,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2021","2021",294.194,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2022","2022",243.215,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2023","2023",189.653,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2021","2021",351.334,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2022","2022",288.412,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2023","2023",245.766,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2021","2021",645.529,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2022","2022",531.627,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2023","2023",435.42,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2021","2021",191.52,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2022","2022",147.301,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2023","2023",115.997,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2021","2021",214.085,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2022","2022",177.237,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-34","15-34 anni","TOT","totale","ITL","italiano-a","2023","2023",144.776,,
