"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021-Q3","T3-2021",1121.037,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021-Q4","T4-2021",1155.171,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022-Q1","T1-2022",1093.277,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022-Q2","T2-2022",968.689,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022-Q3","T3-2022",809.454,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022-Q4","T4-2022",796.123,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023-Q1","T1-2023",743.892,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023-Q2","T2-2023",716.72,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023-Q3","T3-2023",748.353,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023-Q4","T4-2023",725.858,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2024-Q1","T1-2024",685.761,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2024-Q2","T2-2024",658.59,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2024-Q3","T3-2024",763.35,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018","2018",344.191,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018-Q2","T2-2018",311.822,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018-Q1","T1-2018",328.81,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018-Q4","T4-2018",365.858,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018-Q3","T3-2018",370.273,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019","2019",313.866,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019-Q1","T1-2019",309.762,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019-Q2","T2-2019",277.343,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019-Q4","T4-2019",336.518,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019-Q3","T3-2019",331.843,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020","2020",369.723,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020-Q2","T2-2020",363.165,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020-Q1","T1-2020",322.805,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020-Q3","T3-2020",413.559,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020-Q4","T4-2020",379.362,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021","2021",406.703,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022","2022",310.862,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023","2023",230.533,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021-Q1","T1-2021",377.7,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021-Q2","T2-2021",396.88,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021-Q3","T3-2021",421.055,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021-Q4","T4-2021",431.179,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022-Q1","T1-2022",394.113,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022-Q2","T2-2022",337.22,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022-Q3","T3-2022",282.402,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022-Q4","T4-2022",229.713,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023-Q1","T1-2023",213.807,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023-Q2","T2-2023",236.075,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023-Q3","T3-2023",247.969,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023-Q4","T4-2023",224.281,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2024-Q1","T1-2024",204.49,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2024-Q2","T2-2024",218.521,,
"ITCD","Nord","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2024-Q3","T3-2024",253.338,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018","2018",205.438,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018-Q2","T2-2018",187.127,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018-Q1","T1-2018",190.408,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018-Q4","T4-2018",217.303,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018-Q3","T3-2018",226.915,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019","2019",192.636,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019-Q1","T1-2019",190.687,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019-Q2","T2-2019",169.94,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019-Q4","T4-2019",207.188,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019-Q3","T3-2019",202.728,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020","2020",236.395,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020-Q2","T2-2020",232.007,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020-Q1","T1-2020",204.986,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020-Q3","T3-2020",270.051,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020-Q4","T4-2020",238.534,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021","2021",257.526,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022","2022",186.962,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023","2023",135.193,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021-Q1","T1-2021",245.039,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021-Q2","T2-2021",252.009,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021-Q3","T3-2021",268.155,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021-Q4","T4-2021",264.9,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022-Q1","T1-2022",234.984,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022-Q2","T2-2022",198.935,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022-Q3","T3-2022",176.445,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022-Q4","T4-2022",137.484,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023-Q1","T1-2023",122.324,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023-Q2","T2-2023",134.944,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023-Q3","T3-2023",151.316,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023-Q4","T4-2023",132.189,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2024-Q1","T1-2024",115.988,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2024-Q2","T2-2024",136.283,,
"ITC","Nord-ovest","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2024-Q3","T3-2024",170.61,,
"ITC1","Piemonte","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018","2018",61.151,,
"ITC1","Piemonte","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019","2019",57.316,,
"ITC1","Piemonte","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020","2020",64.334,,
"ITC1","Piemonte","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021","2021",68.523,,
"ITC1","Piemonte","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022","2022",51.292,,
"ITC1","Piemonte","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023","2023",34.565,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018","2018",1.629,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019","2019",1.463,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020","2020",1.704,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021","2021",1.893,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022","2022",1.821,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023","2023",1.001,,
"ITC3","Liguria","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018","2018",22.144,,
"ITC3","Liguria","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019","2019",16.395,,
"ITC3","Liguria","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020","2020",19.913,,
"ITC3","Liguria","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021","2021",22.137,,
"ITC3","Liguria","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022","2022",17.772,,
"ITC3","Liguria","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023","2023",11.173,,
"ITC4","Lombardia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018","2018",120.514,,
"ITC4","Lombardia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019","2019",117.462,,
"ITC4","Lombardia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020","2020",150.443,,
"ITC4","Lombardia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021","2021",164.972,,
"ITC4","Lombardia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022","2022",116.078,,
"ITC4","Lombardia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023","2023",88.455,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018","2018",138.753,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018-Q2","T2-2018",124.696,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018-Q1","T1-2018",138.402,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018-Q4","T4-2018",148.555,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018-Q3","T3-2018",143.358,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019","2019",121.231,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019-Q1","T1-2019",119.075,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019-Q2","T2-2019",107.403,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019-Q4","T4-2019",129.331,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019-Q3","T3-2019",129.115,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020","2020",133.328,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020-Q2","T2-2020",131.158,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020-Q1","T1-2020",117.819,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020-Q3","T3-2020",143.508,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020-Q4","T4-2020",140.827,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021","2021",149.178,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022","2022",123.9,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023","2023",95.34,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021-Q1","T1-2021",132.661,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021-Q2","T2-2021",144.87,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021-Q3","T3-2021",152.901,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021-Q4","T4-2021",166.279,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022-Q1","T1-2022",159.129,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022-Q2","T2-2022",138.286,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022-Q3","T3-2022",105.957,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022-Q4","T4-2022",92.229,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023-Q1","T1-2023",91.482,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023-Q2","T2-2023",101.131,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023-Q3","T3-2023",96.653,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023-Q4","T4-2023",92.092,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2024-Q1","T1-2024",88.502,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2024-Q2","T2-2024",82.238,,
"ITD","Nord-est","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2024-Q3","T3-2024",82.728,,
"ITDA","Trentino Alto Adige / Südtirol","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018","2018",12.858,,
"ITDA","Trentino Alto Adige / Südtirol","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019","2019",10.488,,
"ITDA","Trentino Alto Adige / Südtirol","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020","2020",12.403,,
"ITDA","Trentino Alto Adige / Südtirol","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021","2021",14.425,,
"ITDA","Trentino Alto Adige / Südtirol","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022","2022",9.984,,
"ITDA","Trentino Alto Adige / Südtirol","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023","2023",8.844,,
"ITD1","Provincia Autonoma Bolzano / Bozen","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018","2018",5.799,,
"ITD1","Provincia Autonoma Bolzano / Bozen","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019","2019",5.038,,
"ITD1","Provincia Autonoma Bolzano / Bozen","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020","2020",6.067,,
"ITD1","Provincia Autonoma Bolzano / Bozen","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021","2021",6.194,,
"ITD1","Provincia Autonoma Bolzano / Bozen","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022","2022",5.116,,
"ITD1","Provincia Autonoma Bolzano / Bozen","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023","2023",3.859,,
"ITD2","Provincia Autonoma Trento","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018","2018",7.059,,
"ITD2","Provincia Autonoma Trento","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019","2019",5.449,,
"ITD2","Provincia Autonoma Trento","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020","2020",6.335,,
"ITD2","Provincia Autonoma Trento","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021","2021",8.23,,
"ITD2","Provincia Autonoma Trento","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022","2022",4.869,,
"ITD2","Provincia Autonoma Trento","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023","2023",4.984,,
"ITD3","Veneto","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018","2018",66.625,,
"ITD3","Veneto","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019","2019",51.488,,
"ITD3","Veneto","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020","2020",57.545,,
"ITD3","Veneto","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021","2021",64.131,,
"ITD3","Veneto","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022","2022",57.536,,
"ITD3","Veneto","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023","2023",40.578,,
"ITD4","Friuli-Venezia Giulia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018","2018",12.129,,
"ITD4","Friuli-Venezia Giulia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019","2019",12.569,,
"ITD4","Friuli-Venezia Giulia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020","2020",11.364,,
"ITD4","Friuli-Venezia Giulia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021","2021",16.164,,
"ITD4","Friuli-Venezia Giulia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022","2022",13.096,,
"ITD4","Friuli-Venezia Giulia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023","2023",8.799,,
"ITD5","Emilia-Romagna","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018","2018",47.14,,
