STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),severity,Severity (days lost),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,AT,Austria,2020,,0.26,,b,break in time series,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,AT,Austria,2021,,0.63,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,AT,Austria,2022,,0.3,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BE,Belgium,2010,,0.36,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BE,Belgium,2011,,0.08,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BE,Belgium,2012,,0,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BE,Belgium,2013,,0.25,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BE,Belgium,2014,,0.06,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BE,Belgium,2015,,0.09,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BE,Belgium,2016,,0.35,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BE,Belgium,2017,,0.24,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BE,Belgium,2018,,0.35,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BE,Belgium,2019,,0.05,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BE,Belgium,2020,,0.1,,b,break in time series,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BE,Belgium,2021,,0.15,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BE,Belgium,2022,,0.1,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BG,Bulgaria,2010,,0.7,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BG,Bulgaria,2011,,0.31,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BG,Bulgaria,2012,,0.62,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BG,Bulgaria,2013,,0.61,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BG,Bulgaria,2014,,0.46,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BG,Bulgaria,2015,,0.53,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BG,Bulgaria,2016,,0.15,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BG,Bulgaria,2017,,0.44,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BG,Bulgaria,2018,,0.15,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BG,Bulgaria,2019,,0.08,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BG,Bulgaria,2020,,0.34,,b,break in time series,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BG,Bulgaria,2021,,0.08,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,BG,Bulgaria,2022,,0.4,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CH,Switzerland,2010,,0.26,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CH,Switzerland,2011,,0.29,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CH,Switzerland,2012,,0.23,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CH,Switzerland,2013,,0.34,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CH,Switzerland,2014,,0.22,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CH,Switzerland,2015,,0.05,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CH,Switzerland,2016,,0.2,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CH,Switzerland,2017,,0.05,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CH,Switzerland,2018,,0.16,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CH,Switzerland,2019,,0.21,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CH,Switzerland,2020,,0.31,,b,break in time series,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CH,Switzerland,2021,,0.09,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CH,Switzerland,2022,,0.15,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CY,Cyprus,2010,,0,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CY,Cyprus,2011,,0,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CY,Cyprus,2012,,0.6,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CY,Cyprus,2013,,0.57,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CY,Cyprus,2014,,0,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CY,Cyprus,2015,,0.64,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CY,Cyprus,2016,,0,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CY,Cyprus,2017,,0,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CY,Cyprus,2018,,0.53,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CY,Cyprus,2019,,0,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CY,Cyprus,2020,,0,,b,break in time series,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CY,Cyprus,2021,,0,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CY,Cyprus,2022,,0.51,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CZ,Czechia,2010,,0.53,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CZ,Czechia,2011,,0.44,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CZ,Czechia,2012,,0.1,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CZ,Czechia,2013,,0.33,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CZ,Czechia,2014,,0.09,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CZ,Czechia,2015,,0.52,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CZ,Czechia,2016,,0.13,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CZ,Czechia,2017,,0.17,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CZ,Czechia,2018,,0.26,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CZ,Czechia,2019,,0.21,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CZ,Czechia,2020,,0.13,,b,break in time series,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CZ,Czechia,2021,,0.25,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,CZ,Czechia,2022,,0.21,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DE,Germany,2010,,0.15,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DE,Germany,2011,,0.09,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DE,Germany,2012,,0.2,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DE,Germany,2013,,0.09,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DE,Germany,2014,,0.17,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DE,Germany,2015,,0.14,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DE,Germany,2016,,0.09,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DE,Germany,2017,,0.14,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DE,Germany,2018,,0.1,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DE,Germany,2019,,0.13,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DE,Germany,2020,,0.07,,b,break in time series,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DE,Germany,2021,,0.13,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DE,Germany,2022,,0.13,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DK,Denmark,2010,,0.23,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DK,Denmark,2011,,0.16,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DK,Denmark,2012,,0.16,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DK,Denmark,2013,,0.23,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DK,Denmark,2014,,0.16,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DK,Denmark,2015,,0.23,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DK,Denmark,2016,,0.38,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DK,Denmark,2017,,0.07,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DK,Denmark,2018,,0.15,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DK,Denmark,2019,,0.38,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DK,Denmark,2020,,0.07,,b,break in time series,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DK,Denmark,2021,,0.21,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,DK,Denmark,2022,,0.07,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,EE,Estonia,2010,,0.36,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,EE,Estonia,2011,,0,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,EE,Estonia,2012,,0.32,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,EE,Estonia,2013,,0.33,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,EE,Estonia,2014,,0.33,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,EE,Estonia,2015,,0.68,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,EE,Estonia,2016,,0,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,EE,Estonia,2017,,0.31,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,EE,Estonia,2018,,0.31,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,EE,Estonia,2019,,0.33,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,EE,Estonia,2020,,0,,b,break in time series,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,EE,Estonia,2021,,0,,,,,
