STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,reason,Reason,sex,Sex,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BA,Bosnia and Herzegovina,2023,,0.6,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2006,,0.2,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2007,,0.2,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2008,,0.1,,u,low reliability,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2009,,0.2,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2010,,0.2,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2012,,0.2,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2013,,0.5,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2014,,0.3,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2015,,0.4,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2016,,0.3,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2017,,0.4,,b,break in time series,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2018,,0.4,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2019,,0.4,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2020,,0.3,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2021,,0.4,,b,break in time series,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2022,,0.3,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2023,,0.4,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2006,,0.6,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2007,,0.6,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2008,,0.4,,bu,"break in time series, low reliability",,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2009,,0.3,,u,low reliability,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2010,,0.4,,bu,"break in time series, low reliability",,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2011,,,,bu,"break in time series, low reliability",,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2012,,,,u,low reliability,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2013,,0.3,,u,low reliability,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2014,,0.3,,u,low reliability,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2015,,,,u,low reliability,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2016,,,,u,low reliability,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2017,,,,u,low reliability,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2018,,,,u,low reliability,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2019,,,,bu,"break in time series, low reliability",,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2020,,,,u,low reliability,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2021,,0.5,,bu,"break in time series, low reliability",,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2022,,0.4,,u,low reliability,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2023,,0.4,,u,low reliability,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2006,,3.4,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2007,,3.2,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2008,,2.7,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2009,,2.3,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2010,,2.7,,b,break in time series,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2011,,2.4,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2012,,2.2,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2013,,2.2,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2014,,2.1,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2015,,2.1,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2016,,2.1,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2017,,2.0,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2018,,1.7,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2019,,1.6,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2020,,1.6,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2021,,1.8,,b,break in time series,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2022,,2.0,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CH,Switzerland,2023,,1.9,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2006,,1.5,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2007,,1.1,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2008,,0.8,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2009,,0.7,,b,break in time series,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2010,,1.0,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2011,,1.0,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2012,,1.1,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2013,,1.2,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2014,,1.3,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2015,,1.4,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2016,,1.4,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2017,,0.8,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2018,,0.9,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2019,,0.5,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2020,,0.6,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2021,,1.1,,b,break in time series,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2022,,0.8,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2023,,0.5,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2006,,1.2,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2007,,1.1,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2008,,1.0,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2009,,1.0,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2010,,0.8,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2011,,1.0,,b,break in time series,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2012,,0.7,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2013,,0.8,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2014,,0.8,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2015,,0.8,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2016,,0.9,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2017,,0.7,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2018,,0.7,,,,,
