Entity,Code,Year,Annual CO₂ emissions (per capita)
Pakistan,PAK,2021,0.96563566
Mauritania,MRT,2021,0.96533614
Cape Verde,CPV,2021,0.9505422
Eswatini,SWZ,2021,0.9489723
Sri Lanka,LKA,2021,0.92399746
Papua New Guinea,PNG,2021,0.7986589
Nicaragua,NIC,2021,0.7859384
Senegal,SEN,2021,0.6837955
Palestine,PSE,2021,0.66772425
Myanmar,MMR,2021,0.6620929
Vanuatu,VUT,2021,0.6588834
Sao Tome and Principe,STP,2021,0.6530446
Benin,BEN,2021,0.6395752
Ghana,GHA,2021,0.63856685
Nigeria,NGA,2021,0.6143976
Bangladesh,BGD,2021,0.5831512
Kiribati,KIR,2021,0.53396493
Zimbabwe,ZWE,2021,0.5249723
Nepal,NPL,2021,0.52033556
Angola,AGO,2021,0.50735646
Comoros,COM,2021,0.5052505
East Timor,TLS,2021,0.5024414
Sudan,SDN,2021,0.48590592
Kenya,KEN,2021,0.46141472
Zambia,ZMB,2021,0.44487745
Cote d'Ivoire,CIV,2021,0.42686108
Solomon Islands,SLB,2021,0.42669472
Djibouti,DJI,2021,0.41140705
Cameroon,CMR,2021,0.37861246
Guinea,GIN,2021,0.35968435
Yemen,YEM,2021,0.3513444
Mali,MLI,2021,0.31628212
Afghanistan,AFG,2021,0.30631703
Togo,TGO,2021,0.29565188
Low-income countries,,2021,0.28716096
Gambia,GMB,2021,0.2867638
Burkina Faso,BFA,2021,0.2659974
Tanzania,TZA,2021,0.24245292
Mozambique,MOZ,2021,0.22415766
Haiti,HTI,2021,0.2118702
Eritrea,ERI,2021,0.1934708
South Sudan,SSD,2021,0.17157483
Liberia,LBR,2021,0.16660595
Ethiopia,ETH,2021,0.15729143
Guinea-Bissau,GNB,2021,0.15579237
Madagascar,MDG,2021,0.1475559
Chad,TCD,2021,0.14357351
Uganda,UGA,2021,0.13200122
Sierra Leone,SLE,2021,0.13179387
Niger,NER,2021,0.120342515
Rwanda,RWA,2021,0.11539575
Malawi,MWI,2021,0.104497075
Burundi,BDI,2021,0.06373885
Central African Republic,CAF,2021,0.04567115
Democratic Republic of Congo,COD,2021,0.041094083
Somalia,SOM,2021,0.03812561
