Entity,Code,Year,Population,Continent
Latvia,LVA,2022,1881058,Europe
Least developed countries,,2022,1134811919
Lebanon,LBN,2022,5744494,Asia
Lesotho,LSO,2022,2286112,Africa
Less developed regions,,2022,6737630544
Less developed regions excluding China,,2022,5280860580
Less developed regions excluding least developed countries,,2022,5602818604
Liberia,LBR,2022,5373296,Africa
Libya,LBY,2022,7223804,Africa
Liechtenstein,LIE,2022,39336,Europe
Lithuania,LTU,2022,2816922,Europe
Low-income countries,,2022,716865787
Lower-middle-income countries,,2022,3216231043
Luxembourg,LUX,2022,653316,Europe
Macao,MAC,2022,704359,Asia
Madagascar,MDG,2022,30437263,Africa
Malawi,MWI,2022,20568731,Africa
Malaysia,MYS,2022,34695494,Asia
Maldives,MDV,2022,524116,Asia
Mali,MLI,2022,23072639,Africa
Malta,MLT,2022,528194,Europe
Marshall Islands,MHL,2022,40094,Oceania
Martinique,MTQ,2022,349461,North America
Mauritania,MRT,2022,4875645,Africa
Mauritius,MUS,2022,1276134,Africa
Mayotte,MYT,2022,305278,Africa
Mexico,MEX,2022,128613113,North America
Micronesia (country),FSM,2022,112124,Oceania
Moldova,MDA,2022,3039987,Europe
Monaco,MCO,2022,38949,Europe
Mongolia,MNG,2022,3386015,Asia
Montenegro,MNE,2022,614650,Europe
Montserrat,MSR,2022,4476,North America
More developed regions,,2022,1283776661
Morocco,MAR,2022,37329069,Africa
Mozambique,MOZ,2022,32656240,Africa
Myanmar,MMR,2022,53756790,Asia
Namibia,NAM,2022,2889668,Africa
Nauru,NRU,2022,11821,Oceania
Nepal,NPL,2022,29715434,Asia
Netherlands,NLD,2022,17904422,Europe
New Caledonia,NCL,2022,287131,Oceania
New Zealand,NZL,2022,5131733,Oceania
Nicaragua,NIC,2022,6730661,North America
Niger,NER,2022,25311977,Africa
Nigeria,NGA,2022,223150906,Africa
Niue,NIU,2022,1844,Oceania
North Korea,PRK,2022,26328842,Asia
North Macedonia,MKD,2022,1840236,Europe
Northern America (UN),,2022,380481767,North America
Northern Mariana Islands,MNP,2022,46101,Oceania
Norway,NOR,2022,5456795,Europe
Oceania (UN),,2022,45049350,Oceania
Oman,OMN,2022,4730227,Asia
Pakistan,PAK,2022,243700667,Asia
Palau,PLW,2022,17784,Oceania
Palestine,PSE,2022,5305274,Asia
Panama,PAN,2022,4400772,North America
Papua New Guinea,PNG,2022,10203176,Oceania
Paraguay,PRY,2022,6760461,South America
Peru,PER,2022,33475435,South America
Philippines,PHL,2022,113964342,Asia
Poland,POL,2022,38385734,Europe
Portugal,PRT,2022,10417075,Europe
Puerto Rico,PRI,2022,3240971,North America
Qatar,QAT,2022,2892465,Asia
Reunion,REU,2022,871542,Africa
Romania,ROU,2022,19166776,Europe
Russia,RUS,2022,145579890,Asia
Rwanda,RWA,2022,13651026,Africa
Saint Barthelemy,BLM,2022,10948,North America
Saint Helena,SHN,2022,5369,Africa
Saint Kitts and Nevis,KNA,2022,46731,North America
Saint Lucia,LCA,2022,178794,North America
Saint Martin (French part),MAF,2022,28898,North America
Saint Pierre and Miquelon,SPM,2022,5760,North America
Saint Vincent and the Grenadines,VCT,2022,102062,North America
Samoa,WSM,2022,215269,Oceania
San Marino,SMR,2022,34113,Europe
Sao Tome and Principe,STP,2022,226313,Africa
Saudi Arabia,SAU,2022,32175352,Asia
Senegal,SEN,2022,17651099,Africa
Serbia,SRB,2022,6791218,Europe
Seychelles,SYC,2022,125532,Africa
Sierra Leone,SLE,2022,8276808,Africa
Singapore,SGP,2022,5649886,Asia
Sint Maarten (Dutch part),SXM,2022,42163,North America
Slovakia,SVK,2022,5473194,Europe
Slovenia,SVN,2022,2115230,Europe
Small island developing states (SIDS),,2022,72230333
Solomon Islands,SLB,2022,781075,Oceania
Somalia,SOM,2022,17801893,Africa
South Africa,ZAF,2022,62378419,Africa
South Korea,KOR,2022,51782514,Asia
South Sudan,SSD,2022,11021175,Africa
Spain,ESP,2022,47828386,Europe
Sri Lanka,LKA,2022,22834964,Asia
Sudan,SDN,2022,49383343,Africa
Suriname,SUR,2022,623173,South America
Sweden,SWE,2022,10487333,Europe
Switzerland,CHE,2022,8792180,Europe
Syria,SYR,2022,22462170,Asia
Taiwan,TWN,2022,23420107,Asia
Tajikistan,TJK,2022,10182229,Asia
Tanzania,TZA,2022,64711821,Africa
Thailand,THA,2022,71735320,Asia
Togo,TGO,2022,9089742,Africa
Tokelau,TKL,2022,2312,Oceania
Tonga,TON,2022,105053,Oceania
Trinidad and Tobago,TTO,2022,1495922,North America
Tunisia,TUN,2022,12119336,Africa
Turkey,TUR,2022,87058470,Asia
Turkmenistan,TKM,2022,7230198,Asia
Turks and Caicos Islands,TCA,2022,45869,North America
Tuvalu,TUV,2022,10012,Oceania
Uganda,UGA,2022,47312718,Africa
Ukraine,UKR,2022,41048767,Europe
United Arab Emirates,ARE,2022,10242085,Asia
United Kingdom,GBR,2022,68179315,Europe
United States,USA,2022,341534041,North America
United States Virgin Islands,VIR,2022,86521,North America
Upper-middle-income countries,,2022,2804740306
Uruguay,URY,2022,3390913,South America
Uzbekistan,UZB,2022,34938955,Asia
Vanuatu,VUT,2022,313062,Oceania
Vatican,VAT,2022,513,Europe
Venezuela,VEN,2022,28213016,South America
Vietnam,VNM,2022,99680656,Asia
Wallis and Futuna,WLF,2022,11501,Oceania
Western Sahara,ESH,2022,568746,Africa
World,OWID_WRL,2022,8021407170
Yemen,YEM,2022,38222880,Asia
Zambia,ZMB,2022,20152934,Africa
Zimbabwe,ZWE,2022,16069061,Africa
