Entity,Code,Year,Population - Sex: all - Age: all - Variant: estimates
South Sudan,SSD,2022,11021175
Spain,ESP,2022,47828386
Sri Lanka,LKA,2022,22834964
Sudan,SDN,2022,49383343
Suriname,SUR,2022,623173
Sweden,SWE,2022,10487333
Switzerland,CHE,2022,8792180
Syria,SYR,2022,22462170
Taiwan,TWN,2022,23420107
Tajikistan,TJK,2022,10182229
Tanzania,TZA,2022,64711821
Thailand,THA,2022,71735320
Togo,TGO,2022,9089742
Tokelau,TKL,2022,2312
Tonga,TON,2022,105053
Trinidad and Tobago,TTO,2022,1495922
Tunisia,TUN,2022,12119336
Turkey,TUR,2022,87058470
Turkmenistan,TKM,2022,7230198
Turks and Caicos Islands,TCA,2022,45869
Tuvalu,TUV,2022,10012
Uganda,UGA,2022,47312718
Ukraine,UKR,2022,41048767
United Arab Emirates,ARE,2022,10242085
United Kingdom,GBR,2022,68179315
United States,USA,2022,341534041
United States Virgin Islands,VIR,2022,86521
Upper-middle-income countries,,2022,2804740306
Uruguay,URY,2022,3390913
Uzbekistan,UZB,2022,34938955
Vanuatu,VUT,2022,313062
Vatican,VAT,2022,513
Venezuela,VEN,2022,28213016
Vietnam,VNM,2022,99680656
Wallis and Futuna,WLF,2022,11501
Western Sahara,ESH,2022,568746
World,OWID_WRL,2022,8021407170
Yemen,YEM,2022,38222880
Zambia,ZMB,2022,20152934
Zimbabwe,ZWE,2022,16069061
