Entity,Code,Year,Population - Sex: all - Age: all - Variant: estimates
Laos,LAO,2020,7346533
Latin America and the Caribbean (UN),,2020,646729386
Latvia,LVA,2020,1901119
Least developed countries,,2020,1083853564
Lebanon,LBN,2020,5702401
Lesotho,LSO,2020,2235727
Less developed regions,,2020,6602624618
"Less developed regions, excluding China",,2020,5144681850
"Less developed regions, excluding least developed countries",,2020,5518771103
Liberia,LBR,2020,5149471
Libya,LBY,2020,7045404
Liechtenstein,LIE,2020,38793
Lithuania,LTU,2020,2795766
Low-income countries,,2020,679560751
Lower-middle-income countries,,2020,3141910133
Luxembourg,LUX,2020,630597
Macao,MAC,2020,683073
Madagascar,MDG,2020,28953560
Malawi,MWI,2020,19533886
Malaysia,MYS,2020,33889555
Maldives,MDV,2020,502127
Mali,MLI,2020,21713839
Malta,MLT,2020,518213
Marshall Islands,MHL,2020,42728
Martinique,MTQ,2020,356625
Mauritania,MRT,2020,4600135
Mauritius,MUS,2020,1283230
Mayotte,MYT,2020,284381
Mexico,MEX,2020,126799052
Micronesia (country),FSM,2020,110931
Moldova,MDA,2020,3069135
Monaco,MCO,2020,38074
Mongolia,MNG,2020,3290788
Montenegro,MNE,2020,607936
Montserrat,MSR,2020,4532
More developed regions,,2020,1284376622
Morocco,MAR,2020,36584208
Mozambique,MOZ,2020,30783685
Myanmar,MMR,2020,53016525
Namibia,NAM,2020,2728763
Nauru,NRU,2020,11665
Nepal,NPL,2020,28966582
Netherlands,NLD,2020,17636732
New Caledonia,NCL,2020,284186
New Zealand,NZL,2020,5069893
Nicaragua,NIC,2020,6565267
Niger,NER,2020,23717614
Nigeria,NGA,2020,213996186
Niue,NIU,2020,1822
North Korea,PRK,2020,26136313
North Macedonia,MKD,2020,1872021
Northern America (UN),,2020,377734350
Northern Mariana Islands,MNP,2020,47557
Norway,NOR,2020,5379274
Oceania (UN),,2020,44078974
Oman,OMN,2020,4522503
Pakistan,PAK,2020,235001743
Palau,PLW,2020,17817
Palestine,PSE,2020,5069691
Panama,PAN,2020,4293258
Papua New Guinea,PNG,2020,9815741
Paraguay,PRY,2020,6603742
Peru,PER,2020,32838576
Philippines,PHL,2020,112081271
Poland,POL,2020,38171005
Portugal,PRT,2020,10370519
Puerto Rico,PRI,2020,3275801
Qatar,QAT,2020,2803373
Reunion,REU,2020,861452
Romania,ROU,2020,19392469
Russia,RUS,2020,146371293
Rwanda,RWA,2020,13065839
Saint Barthelemy,BLM,2020,10566
Saint Helena,SHN,2020,5451
Saint Kitts and Nevis,KNA,2020,46896
Saint Lucia,LCA,2020,178261
Saint Martin (French part),MAF,2020,31811
Saint Pierre and Miquelon,SPM,2020,5852
Saint Vincent and the Grenadines,VCT,2020,103540
Samoa,WSM,2020,211958
San Marino,SMR,2020,34796
Sao Tome and Principe,STP,2020,217449
Saudi Arabia,SAU,2020,30991205
Senegal,SEN,2020,16789215
Serbia,SRB,2020,6907817
Seychelles,SYC,2020,120299
Sierra Leone,SLE,2020,7912558
Singapore,SGP,2020,5620150
Sint Maarten (Dutch part),SXM,2020,41026
Slovakia,SVK,2020,5455028
Slovenia,SVN,2020,2102419
Small island developing states (SIDS),,2020,71178638
Solomon Islands,SLB,2020,744507
Somalia,SOM,2020,16651200
South Africa,ZAF,2020,60562374
South Korea,KOR,2020,51858480
South Sudan,SSD,2020,10698470
Spain,ESP,2020,47679482
Sri Lanka,LKA,2020,22561807
Sudan,SDN,2020,46789237
Suriname,SUR,2020,612322
Sweden,SWE,2020,10353680
Switzerland,CHE,2020,8640582
Syria,SYR,2020,21049428
Taiwan,TWN,2020,23663460
Tajikistan,TJK,2020,9749310
Tanzania,TZA,2020,60972801
Thailand,THA,2020,71641484
Togo,TGO,2020,8669722
Tokelau,TKL,2020,2152
Tonga,TON,2020,105719
Trinidad and Tobago,TTO,2020,1481026
Tunisia,TUN,2020,11974058
Turkey,TUR,2020,86091691
Turkmenistan,TKM,2020,6949915
Turks and Caicos Islands,TCA,2020,44404
Tuvalu,TUV,2020,10423
Uganda,UGA,2020,44457149
Ukraine,UKR,2020,44680009
United Arab Emirates,ARE,2020,9448529
United Kingdom,GBR,2020,67351860
United States,USA,2020,339436157
United States Virgin Islands,VIR,2020,87724
Upper-middle-income countries,,2020,2789064927
Uruguay,URY,2020,3398967
Uzbekistan,UZB,2020,33586372
Vanuatu,VUT,2020,298868
Vatican,VAT,2020,536
Venezuela,VEN,2020,28444078
Vietnam,VNM,2020,98079196
Wallis and Futuna,WLF,2020,11640
Western Sahara,ESH,2020,549372
World,OWID_WRL,2020,7887001284
Yemen,YEM,2020,36134868
Zambia,ZMB,2020,19059395
Zimbabwe,ZWE,2020,15526888
